City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
187,Port-Gentil,GA,-0.7193,8.7815,82.36,89,20,5.75,Clouds
188,Harnosand,SE,62.6323,17.9379,26.6,79,9,11.14,Clear
189,Marawi,PH,7.9986,124.2928,68.16,88,98,3.85,Clouds
190,Arlit,NE,18.7369,7.3853,67.26,15,0,7.52,Clear
191,Kaihua,CN,23.3687,104.28,52.59,95,99,4.16,Clouds
192,Zaragoza,ES,41.6561,-0.8773,53.02,52,0,3.44,Clear
193,Chara,RU,56.9064,118.2631,-17.5,78,26,1.45,Clouds
194,Malanje,AO,-9.5402,16.341,65.61,95,100,4.09,Clouds
195,Oksfjord,NO,70.2396,22.3479,32.18,96,100,8.23,Snow
196,Sabha,LY,27.0377,14.4283,52.48,34,0,10.54,Clear
197,Manuk Mangkaw,PH,4.8,119.85,81.37,78,100,14.5,Clouds
198,San Quintin,MX,30.4833,-115.95,56.55,70,92,7.61,Clouds
199,Amarillo,US,35.222,-101.8313,71.04,25,0,29.93,Clear
200,Constitucion,CL,-35.3333,-72.4167,67.3,60,22,13.29,Clouds
201,Nemuro,JP,43.3236,145.575,28.8,97,100,28.21,Snow
202,Richards Bay,ZA,-28.783,32.0377,76.98,86,81,12.03,Clouds
203,Bongandanga,CD,1.5,21.05,80.83,30,100,1.34,Clouds
204,Tabou,CI,4.423,-7.3528,80.15,86,5,7.31,Clear
205,Madras,IN,13.0878,80.2785,77.97,80,20,0.0,Mist
206,Beira,MZ,-19.8436,34.8389,82.49,94,20,3.44,Clouds
207,Aykhal,RU,66.0,111.5,-4.36,100,100,5.61,Clouds
208,Saint George,US,37.1041,-113.5841,61.43,27,0,4.0,Clear
209,Winnemucca,US,40.973,-117.7357,45.18,36,92,7.23,Clouds
210,Hambantota,LK,6.1241,81.1185,75.54,100,20,3.44,Clouds
211,Victoria,HK,22.2855,114.1577,68.38,66,97,11.01,Clouds
212,Abalak,RU,58.1286,68.5944,-9.33,100,96,3.62,Clouds
213,Broken Hill,AU,-31.95,141.4333,77.59,22,0,8.81,Clear
214,Camacha,PT,33.0833,-16.3333,60.22,77,75,5.75,Rain
215,Aksarka,RU,66.5606,67.7975,-8.9,98,64,3.38,Clouds
216,Chicama,PE,-7.8447,-79.1469,77.54,61,99,10.13,Clouds
217,Kavieng,PG,-2.5744,150.7967,82.69,73,90,3.98,Clouds
218,Bodden Town,KY,19.2833,-81.25,84.2,70,20,17.27,Clouds
219,Yanai,JP,33.9667,132.1167,42.8,73,11,6.55,Clouds
220,Sanmenxia,CN,34.7747,111.1814,37.29,42,1,0.29,Clear
221,Gwadar,PK,25.1216,62.3254,72.99,70,86,14.43,Clouds
222,Kahului,US,20.8947,-156.47,80.83,68,20,11.99,Rain
223,Gao,ML,16.6362,1.637,69.93,12,0,12.33,Clear
224,Vermilion,US,40.1667,-87.7506,57.54,46,0,23.02,Clear
225,Yanaul,RU,56.2719,54.9309,-5.58,98,48,6.55,Clouds
226,Lesnyye Polyany,RU,55.9667,37.8667,18.75,96,100,5.99,Snow
227,Axim,GH,4.8699,-2.2405,79.47,84,6,9.06,Clear
228,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,81,84,5.03,Clouds
229,Makakilo City,US,21.3469,-158.0858,79.12,69,20,9.22,Rain
230,Pindi Bhattian,PK,31.8978,73.273,63.37,34,100,6.64,Clouds
231,Calabozo,VE,8.9242,-67.4293,91.92,20,0,7.31,Clear
232,Nikolskoye,RU,59.7035,30.7861,21.09,94,98,5.77,Clouds
233,Chilca,PE,-12.5211,-76.7372,74.91,83,59,6.89,Clouds
234,Klaksvik,FO,62.2266,-6.589,43.72,76,72,40.69,Clouds
235,Sao Filipe,CV,14.8961,-24.4956,71.15,75,97,7.14,Clouds
236,Vesyegonsk,RU,58.664,37.2604,15.42,93,100,10.63,Clouds
237,Pitimbu,BR,-7.4706,-34.8086,82.99,75,84,10.6,Clouds
238,Naze,JP,28.3667,129.4833,56.32,66,100,18.84,Clouds
239,Nishihara,JP,26.1842,127.7558,63.68,68,75,24.16,Clouds
240,Miass,RU,55.045,60.1083,-5.6,100,90,1.01,Clouds
241,Ardahan,TR,41.1087,42.7022,17.56,97,90,4.92,Snow
242,Fare,PF,-16.7,-151.0167,81.57,71,0,7.76,Clear
243,Palmer,US,42.1584,-72.3287,45.01,47,100,17.27,Clouds
244,Birjand,IR,32.8663,59.2211,32.47,74,0,4.61,Clear
245,Saint-Joseph,RE,-21.3667,55.6167,79.18,84,81,13.2,Clouds
246,Tadine,NC,-21.55,167.8833,78.85,65,25,15.93,Clouds
247,Port Lincoln,AU,-34.7333,135.8667,70.72,73,0,8.05,Clear
248,Port Elizabeth,ZA,-33.918,25.5701,70.11,88,0,6.91,Clear
249,Turmalina,BR,-17.2856,-42.73,69.76,88,67,6.02,Clouds
250,Vostok,RU,46.4856,135.8833,-6.88,100,100,2.15,Clouds
251,Shimoda,JP,34.6667,138.95,47.1,63,66,20.33,Clouds
252,Channel-Port Aux Basques,CA,47.5702,-59.1367,26.2,66,98,18.43,Clouds
253,Srandakan,ID,-7.9386,110.2506,75.69,88,100,7.09,Clouds
254,Lixourion,GR,38.2019,20.4314,52.63,84,4,3.83,Clear
255,Ilabaya,PE,-17.4208,-70.5133,72.64,66,100,7.61,Clouds
256,Nelson Bay,AU,-32.7167,152.15,76.1,84,5,5.99,Clear
257,Elesbao Veloso,BR,-6.2019,-42.1403,72.82,93,96,4.5,Clouds
258,Bunbury,AU,-33.3333,115.6333,64.45,71,0,14.03,Clear
259,Talnakh,RU,69.4865,88.3972,2.21,96,98,6.98,Clouds
260,Pestyaki,RU,56.7103,42.6717,9.05,95,100,11.16,Snow
261,Chingola,ZM,-12.529,27.8838,63.82,95,100,3.22,Rain
262,Kaitangata,NZ,-46.2817,169.8464,66.58,62,38,3.04,Clouds
263,Hofn,IS,64.2539,-15.2082,42.19,55,61,26.46,Clouds
264,Weingarten,DE,47.8,9.6333,47.37,81,100,3.44,Clouds
265,Coquimbo,CL,-29.9533,-71.3436,69.53,77,0,13.8,Clear
266,Ushtobe,KZ,45.2514,77.9838,24.01,96,100,6.87,Clouds
267,Nouakchott,MR,18.0858,-15.9785,73.33,52,47,15.41,Clouds
268,Constancia,MX,24.2231,-107.1869,81.01,32,5,9.55,Clear
269,Korsakov,RU,46.6328,142.7813,13.84,88,100,21.25,Snow
270,Lagoa,PT,39.05,-27.9833,57.13,72,54,3.33,Clouds
271,Vila Velha,BR,-20.3297,-40.2925,82.35,84,40,8.05,Clouds
272,Rocky Mountain House,CA,52.3668,-114.9188,33.91,69,100,6.91,Snow
273,Huambo,AO,-12.7761,15.7392,61.86,74,34,1.59,Clouds
274,Dryden,CA,49.7833,-92.7503,8.89,56,20,9.22,Clouds
275,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,88,0,13.8,Clear
276,Nieuw Amsterdam,SR,5.8833,-55.0833,80.76,69,20,9.22,Clouds
277,Awbari,LY,26.5921,12.7805,52.12,30,0,6.82,Clear
278,Neuquen,AR,-38.9516,-68.0591,87.69,23,0,6.91,Clear
279,Tikapur,NP,28.5,81.1333,60.31,63,6,3.53,Clear
280,Kodiak,US,57.79,-152.4072,36.91,60,0,14.97,Clear
281,Barrow,US,71.2906,-156.7887,-7.58,84,100,0.0,Snow
282,Tiznit,MA,29.5833,-9.5,59.52,46,0,4.59,Clear
283,Fairmont,US,39.4851,-80.1426,63.52,51,4,10.78,Clear
284,Ustka,PL,54.5805,16.8619,39.65,82,100,23.49,Clouds
285,Barcelos,PT,41.5388,-8.6151,61.68,72,30,4.74,Clouds
286,Tateyama,JP,34.9833,139.8667,48.09,62,93,12.97,Clouds
287,Xai-Xai,MZ,-25.0519,33.6442,77.56,91,100,6.06,Clouds
288,Sirnak,TR,37.5228,42.4594,33.87,72,19,4.72,Clouds
289,College,US,64.8569,-147.8028,7.59,83,100,0.0,Snow
290,Roald,NO,62.5833,6.1333,40.12,69,100,19.57,Snow
291,Biak,ID,-0.9131,122.8766,76.46,85,99,1.03,Clouds
292,Batangafo,CF,7.3008,18.2833,76.26,19,56,4.23,Clouds
293,Kavaratti,IN,10.5669,72.642,79.07,74,8,5.03,Clear
294,Khorixas,NA,-20.3667,14.9667,60.04,59,45,6.73,Clouds
295,Reconquista,AR,-29.15,-59.65,77.61,24,0,4.36,Clear
296,Swan Hill,AU,-35.3378,143.5544,73.18,37,0,6.53,Clear
297,Mount Gambier,AU,-37.8333,140.7667,62.33,79,3,3.58,Clear
298,Awjilah,LY,29.1081,21.2869,56.01,48,0,5.7,Clear
299,Muromtsevo,RU,56.3724,75.2418,9.48,96,98,5.46,Clouds
300,Brooks,CA,50.5834,-111.8851,39.18,52,97,4.61,Clouds
301,Sarakhs,IR,36.5449,61.1577,47.44,42,0,5.41,Clear
302,Mgandu,TZ,-5.95,34.1333,67.35,68,98,7.72,Clouds
303,Dillon,US,34.4166,-79.3712,64.38,80,100,3.38,Clouds
304,Merauke,ID,-8.4667,140.3333,78.75,85,100,4.92,Rain
305,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,84.04,15,50,6.22,Clouds
306,The Valley,AI,18.217,-63.0578,77.83,72,59,20.33,Clouds
307,Eureka,US,40.8021,-124.1637,58.19,68,31,8.99,Clouds
308,Tessalit,ML,20.1986,1.0114,69.21,13,41,11.48,Clouds
309,Rawlins,US,41.7911,-107.2387,27.36,68,100,36.82,Clouds
310,Dzaoudzi,YT,-12.7887,45.2699,78.69,89,0,3.44,Clear
311,Killybegs,IE,54.6333,-8.45,51.66,85,100,24.11,Clouds
312,Primorsk,UA,46.7348,36.3443,37.06,93,100,12.75,Rain
313,Nazira,IN,26.9167,94.7333,71.04,56,93,2.21,Clouds
314,Tofield,CA,53.3668,-112.6686,31.26,93,100,9.1,Clouds
315,Tanout,NE,14.9709,8.8879,64.69,14,1,13.27,Clear
316,Noumea,NC,-22.2763,166.4572,84.18,99,95,12.82,Clouds
317,Jabinyanah,TN,35.035,10.9081,53.4,60,0,9.19,Clear
318,Beja,TN,36.7256,9.1817,48.85,81,32,0.96,Clouds
319,Cherepanovo,RU,54.2222,83.381,3.11,97,99,3.53,Clouds
320,Astana,KZ,51.1801,71.446,13.95,85,100,13.42,Clouds
321,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.27,49,100,11.39,Clouds
322,Silchar,IN,24.8167,92.8,62.31,62,1,3.47,Clear
323,Mahibadhoo,MV,3.7833,72.9667,79.95,74,18,8.05,Clouds
324,Banda Aceh,ID,5.5577,95.3222,77.13,83,99,9.8,Clouds
325,Padang,ID,-0.9492,100.3543,76.17,84,100,3.76,Clouds
326,Port Blair,IN,11.6667,92.75,75.24,88,40,2.3,Mist
327,Abadszalok,HU,47.4667,20.6,46.38,77,83,7.67,Clouds
328,Hualmay,PE,-11.0964,-77.6139,76.89,75,99,10.47,Clouds
329,Pacific Grove,US,36.6177,-121.9166,68.9,48,0,6.91,Clear
330,Rockland,US,41.1668,-74.0496,49.05,61,100,1.01,Clouds
331,Korla,CN,41.7597,86.1469,31.89,77,78,3.6,Clouds
332,Truth Or Consequences,US,33.1284,-107.2528,55.63,58,20,19.57,Clouds
333,Russell,US,32.3502,-85.1999,69.08,34,0,4.61,Clear
334,Zapadnaya Dvina,RU,56.259,32.0745,28.33,97,100,8.39,Snow
335,Yatou,CN,37.15,122.3833,31.17,46,2,14.94,Clear
336,Osoyoos,CA,49.0331,-119.4524,43.21,52,84,4.61,Clouds
337,Dakar,SN,14.6937,-17.4441,72.48,77,0,11.5,Clear
338,Whitley Bay,GB,55.0397,-1.4471,51.01,80,20,18.41,Clouds
339,Rio Gallegos,AR,-51.6226,-69.2181,55.45,33,75,26.46,Clouds
340,Weihai,CN,37.5017,122.1136,32.22,46,2,17.87,Clear
341,Mayo,US,38.8876,-76.5119,62.76,62,0,18.41,Clear
342,Ostrovnoy,RU,68.0531,39.5131,11.07,94,30,14.0,Clouds
343,Qaqortoq,GL,60.7167,-46.0333,10.65,84,100,7.14,Clouds
344,Ossora,RU,59.2353,163.0719,-8.75,89,100,4.56,Clouds
345,Vzmorye,RU,54.6961,20.2361,37.49,87,24,16.75,Clouds
346,Pisco,PE,-13.7,-76.2167,80.65,69,0,25.32,Clear
347,Ayat,KZ,52.8228,62.5164,15.3,96,100,9.57,Snow
348,Kandrian,PG,-6.2167,149.55,80.11,84,100,3.24,Rain
349,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,86,0,7.0,Clear
350,Karlstad,SE,59.3793,13.5036,25.36,68,100,3.44,Clouds
351,Sobolevo,RU,54.4299,31.8996,28.22,95,99,17.45,Snow
352,Akdepe,TM,42.0551,59.3788,30.29,65,99,9.19,Clouds
353,Povenets,RU,62.8487,34.8262,1.44,99,36,4.59,Clouds
354,Hasaki,JP,35.7333,140.8333,45.0,52,83,14.74,Clouds
355,Kaeng Khoi,TH,14.5862,100.9976,82.11,57,72,4.85,Clouds
356,Porto-Vecchio,FR,41.591,9.2795,53.26,87,20,14.97,Clouds
357,Santona,ES,43.4439,-3.4576,54.07,89,94,8.23,Clouds
