City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Isangel,VU,2023-02-19 08:32:28,-19.55,169.2667,77.68,75,2,10.89
213,Ternate,ID,2023-02-19 08:32:28,0.8,127.4,81.16,78,100,2.66
214,Tilichiki,RU,2023-02-19 08:32:29,60.4667,166.1,-6.18,91,97,7.76
215,Fairbanks,US,2023-02-19 08:27:40,64.8378,-147.7164,-2.9,82,100,0.0
216,Wasilla,US,2023-02-19 08:32:30,61.5814,-149.4394,27.95,92,100,0.0
217,Port Macquarie,AU,2023-02-19 08:32:03,-31.4333,152.9167,75.88,71,90,12.21
218,Zhezkazgan,KZ,2023-02-19 08:32:31,47.8043,67.7144,4.98,78,40,6.71
219,Mandera,KE,2023-02-19 08:32:31,3.9366,41.867,92.91,16,69,19.19
220,Mauganj,IN,2023-02-19 08:32:32,24.6833,81.8833,87.48,17,0,7.52
221,Hailar,CN,2023-02-19 08:32:32,49.2,119.7,-4.22,99,70,5.14
222,Solnechnyy,RU,2023-02-19 08:32:33,50.7214,136.6319,-0.13,98,92,3.15
223,Hushitai,CN,2023-02-19 08:32:33,41.9322,123.5114,33.71,22,78,14.09
224,Aquiraz,BR,2023-02-19 08:32:34,-3.9014,-38.3911,81.18,86,100,6.96
225,Susanville,US,2023-02-19 08:30:16,40.4163,-120.653,28.24,81,0,3.44
226,Gat,IL,2023-02-19 08:32:35,31.61,34.7642,67.41,30,0,2.93
227,Kahului,US,2023-02-19 08:32:35,20.8947,-156.47,74.84,88,0,5.01
228,Foki,RU,2023-02-19 08:33:36,56.693,54.3499,11.75,85,93,7.54
229,Sinnamary,GF,2023-02-19 08:33:36,5.3833,-52.95,75.97,86,100,11.5
230,Vodnyy,RU,2023-02-19 08:33:37,63.5046,53.4095,14.09,92,90,3.76
231,Avera,US,2023-02-19 08:33:37,33.194,-82.5271,36.37,71,88,3.78
232,Atherton,GB,2023-02-19 08:33:38,53.5237,-2.4935,44.74,89,41,5.44
233,Chokurdakh,RU,2023-02-19 08:33:38,70.6333,147.9167,-48.64,100,75,1.36
234,Bagdarin,RU,2023-02-19 08:33:39,54.4333,113.6,4.91,69,6,6.51
235,Jalu,LY,2023-02-19 08:33:39,29.0331,21.5482,59.58,43,0,5.59
236,Birjand,IR,2023-02-19 08:33:39,32.8663,59.2211,55.87,26,20,4.61
